platform,post_id,created_at,author_id,post_text,source_url,matched_query,initial_signal_type,signal_type,confidence,matched_terms,opportunity_score,priority,is_tracker,why_now,sales_angle,safe_outreach_suggestion,like_count,reply_count,retweet_count,quote_count,engagement,cluster
x,2055117234146525694,2026-05-15 02:45:05+00:00,1859780116014141440,"Qilin claims a ransomware attack on Schulte-Lindhorst GmbH &amp; Co., a German manufacturing company. The report was posted on May 14, 2026. #Germany #Manufacturing #Ransomware
https://t.co/m0jhUAOFpH",https://x.com/i/web/status/2055117234146525694,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,80,"['ransomware attack on', 'claims a ransomware attack']",36,High,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,0
x,2054652934428746221,2026-05-13 20:00:07+00:00,1859780116014141440,"Qilin claims a ransomware attack on Spirit Medical Transport in the US, with unauthorized encryption activity reported in the healthcare sector. #UnitedStates #Healthcare #Ransomware
https://t.co/Xn6oE0Q8K0",https://x.com/i/web/status/2054652934428746221,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,80,"['ransomware attack on', 'claims a ransomware attack']",36,High,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",1,0,0,0,1,0
x,2055012304517747025,2026-05-14 19:48:08+00:00,24172501,"""He's about to finish work on a Friday evening. Have a catastrophic data breach notification come through to the inbox."" https://t.co/ghWMs2ceev",https://x.com/i/web/status/2055012304517747025,"""breach notification""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,80,"['data breach', 'breach notification']",32,High,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2054937187775385893,2026-05-14 14:49:39+00:00,2024777201372246016,"Pakistani institutions are being sold on the dark web and nobody is talking about it.
Bank records. NADRA leaks. Hospital data. University databases.
All available for a few dollars in crypto. 💀
We don't have a data breach notification law. We don't have accountability.
We just",https://x.com/i/web/status/2054937187775385893,"""breach notification""",BREACH_DISCLOSURE,BREACH_DISCLOSURE,80,"['data breach', 'breach notification']",32,High,False,Post references an officially disclosed breach -- regulatory pressure typically opens budget for endpoint / detection upgrades.,"Lead with a compliance-aligned post-incident playbook (notification, scope, blast radius) -- not a product pitch.",Internal suggestion: share a post-incident lessons-learned brief; never claim insight you do not have.,0,0,0,0,0,5
x,2055097893170602112,2026-05-15 01:28:14+00:00,2043611533553389568,"👁️ Another victim. Another name on the list.

🔴 New Ransomware Victim Detected

🚩 Group → incransom
🏢 Victim → United Quality Cooperative / https://t.co/W3CYmiAMzI
🏭 Sector → Agriculture and Food Production
🌍 Country → 🇺🇸 US
🕵️ Discovery Date → 2026-05-15T01:23:02
⚔️",https://x.com/i/web/status/2055097893170602112,"""ransomware victim""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware victim'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,0
x,2055091617795866722,2026-05-15 01:03:18+00:00,2042813011488874496,"New Ransomware Victim Detected

Group: incransom
Victim: United Quality Cooperative / https://t.co/3xPvjDdI6a
Discovered: 2026-05-15 01:02:26.046251

More info: https://t.co/NPYaDGrtyE

#ransomware #cti #cybersecurity",https://x.com/i/web/status/2055091617795866722,"""ransomware victim""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware victim'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,0
x,2054965082673557917,2026-05-14 16:40:29+00:00,2043611533553389568,"👁️ Another victim. Another name on the list.

🔴 New Ransomware Victim Detected

🚩 Group → qilin
🏢 Victim → Schulte-Lindhorst GmbH &amp; Co.
🏭 Sector → Manufacturing
🌍 Country → 🇩🇪 DE
🕵️ Discovery Date → 2026-05-14T16:23:05
⚔️ Attack Date → 2026-05-14T16:22:46

Threat actor",https://x.com/i/web/status/2054965082673557917,"(""LockBit"" OR ""Qilin"" OR ""Akira"" OR ""BlackCat"" OR ""ALPHV"") ""victim""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware victim'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,0
x,2054956683991122419,2026-05-14 16:07:07+00:00,2042813011488874496,"New Ransomware Victim Detected

Group: qilin
Victim: Schulte-Lindhorst GmbH &amp; Co.
Discovered: 2026-05-14 16:05:35.785466

More info: https://t.co/3qt49lgUtx

#ransomware #cti #cybersecurity https://t.co/V43e7lSZpA",https://x.com/i/web/status/2054956683991122419,"(""LockBit"" OR ""Qilin"" OR ""Akira"" OR ""BlackCat"" OR ""ALPHV"") ""victim""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware victim'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,0
x,2054941429416497367,2026-05-14 15:06:30+00:00,1385625773139189761,Foxconn confirms ransomware attack on North American factories. Nitrogen gang claims 8TB of data stolen—11M+ files from top clients compromised. #cybersecurity #CyDhaal #ransomware #Foxconn #supplychain #databreach 🔐,https://x.com/i/web/status/2054941429416497367,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,3
x,2054895759628075216,2026-05-14 12:05:01+00:00,75883265,"Foxconn Attack Highlights Manufacturing's Cyber Crisis https://t.co/G9CN5mllbp A Nitrogen ransomware attack on Foxconn's North American facilities is one of 600 hits on manufacturers this year, as gangs increasingly target the sector for its low tolerance for downtime.",https://x.com/i/web/status/2054895759628075216,"""ransomware attack on""",RANSOMWARE_VICTIM,RANSOMWARE_VICTIM,60,['ransomware attack on'],27,Medium,False,Post names a confirmed ransomware victim -- peers in the same segment face an immediate buying trigger.,Lead with a peer-segment briefing on how comparable companies hardened after a similar incident.,"Internal suggestion: do NOT contact the named victim. Share a generic peer-segment briefing with neighbors in the same vertical, framed as helpful, not opportunistic.",0,0,0,0,0,3
